"division","year","active_population","of_which_non_wage_earners","of_which_wage_earners","total_employed_population","unemployed","unemployment_rate_in_percent"
"Diekirch","2011",2.858,199,2.431,2.63,228,7.98
"Diekirch","2012",2.845,193,2.4,2.593,252,8.86
"Diekirch","2013",2.914,197,2.448,2.645,269,9.23
"Diekirch","2014",2.957,199,2.511,2.71,247,8.35
"Diekirch","2015",3.037,200,2.56,2.76,277,9.12
"Differdange","2001",7.44,319,6.786,7.105,335,4.5
"Differdange","2002",7.669,341,6.932,7.273,396,5.16
"Differdange","2003",7.946,351,7.126,7.477,469,5.9
"Differdange","2004",8.298,353,7.389,7.742,556,6.7
"Differdange","2005",8.299,335,7.37,7.705,594,7.16
"Differdange","2006",8.389,343,7.383,7.726,663,7.9
"Differdange","2007",8.797,344,7.799,8.143,654,7.43
"Differdange","2008",9.167,343,8.056,8.399,768,8.38
"Differdange","2009",9.424,332,8.088,8.42,1.004,10.65
"Differdange","2010",9.67,335,8.195,8.53,1.14,11.79
"Differdange","2011",10.087,370,8.615,8.985,1.102,10.92
"Differdange","2012",10.398,354,8.88,9.234,1.164,11.19
"Differdange","2013",10.932,388,9.099,9.487,1.445,13.22
"Differdange","2014",11.254,398,9.437,9.835,1.419,12.61
"Differdange","2015",11.527,410,9.8,10.21,1.317,11.43
"Dippach","2001",1.387,146,1.215,1.361,26,1.87
"Dippach","2002",1.404,154,1.228,1.382,22,1.57
"Dippach","2003",1.455,160,1.261,1.421,34,2.34
"Dippach","2004",1.477,161,1.263,1.424,53,3.59
"Dippach","2005",1.506,152,1.302,1.454,52,3.45
"Dippach","2006",1.544,149,1.331,1.48,64,4.15
"Dippach","2007",1.556,142,1.363,1.505,51,3.28
"Dippach","2008",1.568,143,1.36,1.503,65,4.15
"Dippach","2009",1.62,145,1.392,1.537,83,5.12
"Dippach","2010",1.635,144,1.423,1.567,68,4.16
"Dippach","2011",1.692,148,1.457,1.605,87,5.14
"Dippach","2012",1.737,154,1.506,1.66,77,4.43
"Dippach","2013",1.817,168,1.535,1.703,114,6.27
"Dippach","2014",1.889,161,1.606,1.767,122,6.46
"Dippach","2015",1.886,160,1.62,1.78,106,5.62
"Dudelange","2001",7.541,439,6.826,7.265,276,3.66
"Dudelange","2002",7.609,441,6.87,7.311,298,3.92
"Dudelange","2003",7.663,451,6.824,7.275,388,5.06
"Dudelange","2004",7.82,454,6.886,7.34,480,6.14
"Dudelange","2005",7.74,460,6.798,7.258,482,6.23
"Dudelange","2006",7.727,437,6.851,7.288,439,5.68
"Dudelange","2007",7.787,435,6.906,7.341,446,5.73
"Dudelange","2008",7.957,462,6.991,7.453,504,6.33
"Dudelange","2009",8.229,480,7.104,7.584,645,7.84
"Dudelange","2010",8.339,474,7.162,7.636,703,8.43
"Dudelange","2011",8.431,474,7.236,7.71,721,8.55
"Dudelange","2012",8.642,470,7.413,7.883,759,8.78
"Dudelange","2013",8.809,474,7.511,7.985,824,9.35
"Dudelange","2014",8.945,486,7.621,8.107,838,9.37
"Dudelange","2015",9.008,480,7.76,8.24,768,8.53
"Echternach","2001",2.14,232,1.801,2.033,107,5
"Echternach","2002",2.154,235,1.793,2.028,126,5.85
"Echternach","2003",2.138,236,1.788,2.024,114,5.33
"Echternach","2004",2.27,233,1.912,2.145,125,5.51
"Echternach","2005",2.246,234,1.841,2.075,171,7.61
"Echternach","2006",2.236,212,1.839,2.051,185,8.27
"Echternach","2007",2.177,203,1.871,2.074,103,4.73
"Echternach","2008",2.263,196,1.867,2.063,200,8.84
"Echternach","2009",2.322,189,1.89,2.079,243,10.47
"Echternach","2010",2.384,199,1.941,2.14,244,10.23
"Echternach","2011",2.45,209,1.992,2.201,249,10.16
"Echternach","2012",2.452,200,2.014,2.214,238,9.71
"Echternach","2013",2.458,203,1.964,2.167,291,11.84
"Echternach","2014",2.419,215,1.971,2.186,233,9.63
"Echternach","2015",2.336,210,1.91,2.12,216,9.25
"Ell","2001",340,72,264,336,4,1.18
"Ell","2002",354,71,277,348,6,1.69
"Ell","2003",346,72,269,341,5,1.45
"Ell","2004",345,74,265,339,6,1.74
"Ell","2005",385,72,309,381,4,1.04
"Ell","2006",422,73,340,413,9,2.13
"Ell","2007",450,74,369,443,7,1.56
"Ell","2008",459,73,375,448,11,2.4
"Ell","2009",475,70,394,464,11,2.32
"Ell","2010",499,70,419,489,10,2
"Ell","2011",528,75,439,514,14,2.65
"Ell","2012",542,74,447,521,21,3.87
"Ell","2013",554,76,456,532,22,3.97
"Ell","2014",573,71,477,548,25,4.36
"Ell","2015",585,70,490,560,25,4.27
"Erpeldange-sur-Sûre","2001",961,110,843,953,8,0.83
"Erpeldange-sur-Sûre","2002",968,109,845,954,14,1.45
"Erpeldange-sur-Sûre","2003",982,106,855,961,21,2.14
"Erpeldange-sur-Sûre","2004",1.003,100,881,981,22,2.19
"Erpeldange-sur-Sûre","2005",995,103,850,953,42,4.22
"Erpeldange-sur-Sûre","2006",962,89,837,926,36,3.74
"Erpeldange-sur-Sûre","2007",991,88,873,961,30,3.03
"Erpeldange-sur-Sûre","2008",1.007,91,874,965,42,4.17
"Erpeldange-sur-Sûre","2009",1.012,89,879,968,44,4.35
"Erpeldange-sur-Sûre","2010",1.027,90,886,976,51,4.97
"Erpeldange-sur-Sûre","2011",1.021,82,888,970,51,5
"Erpeldange-sur-Sûre","2012",1.051,83,918,1.001,50,4.76
"Erpeldange-sur-Sûre","2013",1.057,86,911,997,60,5.68
"Erpeldange-sur-Sûre","2014",1.082,91,934,1.025,57,5.27
"Erpeldange-sur-Sûre","2015",1.082,90,930,1.02,62,5.73
"Esch-sur-Alzette","2001",11.339,665,10.113,10.778,561,4.95
"Esch-sur-Alzette","2002",11.675,677,10.302,10.979,696,5.96
"Esch-sur-Alzette","2003",11.718,674,10.231,10.905,813,6.94
"Esch-sur-Alzette","2004",12.187,659,10.629,11.288,899,7.38
"Esch-sur-Alzette","2005",11.944,654,10.338,10.992,952,7.97
"Esch-sur-Alzette","2006",12.233,657,10.51,11.167,1.066,8.71
"Esch-sur-Alzette","2007",12.558,634,10.893,11.527,1.031,8.21
"Esch-sur-Alzette","2008",12.869,638,10.955,11.593,1.276,9.92
"Esch-sur-Alzette","2009",13.236,652,11.007,11.659,1.577,11.91
"Esch-sur-Alzette","2010",13.555,638,11.183,11.821,1.734,12.79
"Esch-sur-Alzette","2011",13.869,630,11.469,12.099,1.77,12.76
"Esch-sur-Alzette","2012",14.344,684,11.831,12.515,1.829,12.75
"Esch-sur-Alzette","2013",14.779,694,12.031,12.725,2.054,13.9
"Esch-sur-Alzette","2014",15.152,703,12.452,13.155,1.997,13.18
"Esch-sur-Alzette","2015",15.341,710,12.6,13.31,2.031,13.24
"Esch-sur-Sûre","2001",741,139,579,718,23,3.1
"Esch-sur-Sûre","2002",764,136,603,739,25,3.27
"Esch-sur-Sûre","2003",763,144,588,732,31,4.06
"Esch-sur-Sûre","2004",764,145,596,741,23,3.01
"Esch-sur-Sûre","2005",799,149,620,769,30,3.75
"Esch-sur-Sûre","2006",845,139,667,806,39,4.62
"Esch-sur-Sûre","2007",901,135,733,868,33,3.66
"Esch-sur-Sûre","2008",944,130,765,895,49,5.19
"Esch-sur-Sûre","2009",969,127,793,920,49,5.06
"Esch-sur-Sûre","2010",1.029,131,833,964,65,6.32
"Esch-sur-Sûre","2011",1.09,129,897,1.026,64,5.87
"Esch-sur-Sûre","2012",1.124,118,938,1.056,68,6.05
"Esch-sur-Sûre","2013",1.111,112,927,1.039,72,6.48
"Esch-sur-Sûre","2014",1.112,119,927,1.046,66,5.94
"Esch-sur-Sûre","2015",1.159,110,970,1.08,79,6.82
"Ettelbruck","2001",3.327,229,2.991,3.22,107,3.22
"Ettelbruck","2002",3.318,230,2.982,3.212,106,3.19
"Ettelbruck","2003",3.355,237,2.993,3.23,125,3.73
"Ettelbruck","2004",3.379,248,3.006,3.254,125,3.7
"Ettelbruck","2005",3.364,237,2.928,3.165,199,5.92
"Ettelbruck","2006",3.376,229,2.964,3.193,183,5.42
"Ettelbruck","2007",3.388,233,2.972,3.205,183,5.4
"Ettelbruck","2008",3.418,235,2.978,3.213,205,6
"Ettelbruck","2009",3.419,241,2.919,3.16,259,7.58
"Ettelbruck","2010",3.543,246,3.022,3.268,275,7.76
"Ettelbruck","2011",3.638,244,3.089,3.333,305,8.38
"Ettelbruck","2012",3.692,249,3.1,3.349,343,9.29
"Ettelbruck","2013",3.752,252,3.123,3.375,377,10.05
"Ettelbruck","2014",3.797,256,3.146,3.402,395,10.4
"Ettelbruck","2015",3.831,250,3.14,3.39,441,11.51
"Feulen","2001",649,71,561,632,17,2.62
"Feulen","2002",646,70,556,626,20,3.1
"Feulen","2003",634,69,543,612,22,3.47
"Feulen","2004",656,69,572,641,15,2.29
"Feulen","2005",672,64,580,644,28,4.17
"Feulen","2006",670,61,586,647,23,3.43
"Feulen","2007",689,59,607,666,23,3.34
"Feulen","2008",727,57,646,703,24,3.3
"Feulen","2009",761,59,666,725,36,4.73
"Feulen","2010",760,61,664,725,35,4.61
"Feulen","2011",745,63,643,706,39,5.23
"Feulen","2012",769,60,675,735,34,4.42
"Feulen","2013",825,64,725,789,36,4.36
"Feulen","2014",882,65,782,847,35,3.97
"Feulen","2015",934,70,810,880,54,5.78
"Fischbach","2001",132,21,107,128,4,3.03
"Fischbach","2002",139,20,109,129,10,7.19
"Fischbach","2003",148,18,125,143,5,3.38
"Fischbach","2004",169,16,142,158,11,6.51
"Fischbach","2005",182,18,154,172,10,5.49
"Fischbach","2006",344,43,290,333,11,3.2
"Fischbach","2007",359,41,305,346,13,3.62
"Fischbach","2008",354,43,300,343,11,3.11
"Fischbach","2009",413,49,346,395,18,4.36
"Fischbach","2010",441,48,378,426,15,3.4
"Fischbach","2011",466,49,401,450,16,3.43
"Fischbach","2012",520,54,443,497,23,4.42
"Fischbach","2013",575,51,501,552,23,4
"Fischbach","2014",589,54,512,566,23,3.9
"Fischbach","2015",616,60,530,590,26,4.22
"Flaxweiler","2001",630,123,503,626,4,0.63
"Flaxweiler","2002",670,120,540,660,10,1.49
"Flaxweiler","2003",713,122,579,701,12,1.68
"Flaxweiler","2004",726,119,594,713,13,1.79
"Flaxweiler","2005",739,113,601,714,25,3.38
"Flaxweiler","2006",764,109,634,743,21,2.75
"Flaxweiler","2007",775,113,643,756,19,2.45
"Flaxweiler","2008",796,108,669,777,19,2.39
"Flaxweiler","2009",784,108,655,763,21,2.68
"Flaxweiler","2010",816,101,677,778,38,4.66
"Flaxweiler","2011",844,101,716,817,27,3.2
"Flaxweiler","2012",878,98,744,842,36,4.1
"Flaxweiler","2013",899,96,772,868,31,3.45
"Flaxweiler","2014",906,90,789,879,27,2.98
"Flaxweiler","2015",930,90,810,900,30,3.23
"Frisange","2001",1.326,145,1.161,1.306,20,1.51
"Frisange","2002",1.365,148,1.182,1.33,35,2.56
"Frisange","2003",1.396,134,1.211,1.345,51,3.65
"Frisange","2004",1.459,130,1.275,1.405,54,3.7
"Frisange","2005",1.474,135,1.293,1.428,46,3.12
"Frisange","2006",1.533,139,1.352,1.491,42,2.74
"Frisange","2007",1.661,144,1.463,1.607,54,3.25
"Frisange","2008",1.707,154,1.493,1.647,60,3.51
"Frisange","2009",1.787,150,1.548,1.698,89,4.98
"Frisange","2010",1.81,153,1.564,1.717,93,5.14
"Frisange","2011",1.849,155,1.616,1.771,78,4.22
"Frisange","2012",1.891,152,1.655,1.807,84,4.44
"Frisange","2013",1.95,163,1.699,1.862,88,4.51
"Frisange","2014",1.985,165,1.731,1.896,89,4.48
"Frisange","2015",2.12,170,1.83,2,120,5.66
"Garnich","2001",606,70,526,596,10,1.65
"Garnich","2002",591,65,518,583,8,1.35
"Garnich","2003",600,68,518,586,14,2.33
"Garnich","2004",618,71,532,603,15,2.43
"Garnich","2005",651,72,560,632,19,2.92
"Garnich","2006",652,71,564,635,17,2.61
"Garnich","2007",661,72,573,645,16,2.42
"Garnich","2008",675,73,586,659,16,2.37
"Garnich","2009",825,88,717,805,20,2.42
"Garnich","2010",831,90,717,807,24,2.89
"Garnich","2011",850,92,735,827,23,2.71
"Garnich","2012",873,91,757,848,25,2.86
"Garnich","2013",869,94,750,844,25,2.88
"Garnich","2014",864,88,757,845,19,2.2
"Garnich","2015",899,90,780,870,29,3.23
"Goesdorf","2001",425,62,356,418,7,1.65
"Goesdorf","2002",461,66,382,448,13,2.82
"Goesdorf","2003",458,66,385,451,7,1.53
"Goesdorf","2004",483,68,407,475,8,1.66
"Goesdorf","2005",490,65,410,475,15,3.06
"Goesdorf","2006",528,69,443,512,16,3.03
"Goesdorf","2007",535,67,448,515,20,3.74
"Goesdorf","2008",576,68,487,555,21,3.65
"Goesdorf","2009",598,66,514,580,18,3.01
"Goesdorf","2010",604,67,520,587,17,2.81
"Goesdorf","2011",631,63,544,607,24,3.8
"Goesdorf","2012",649,64,558,622,27,4.16
"Goesdorf","2013",676,63,579,642,34,5.03
"Goesdorf","2014",724,69,619,688,36,4.97
"Goesdorf","2015",738,70,620,690,48,6.5
"Grand Duchy of Luxembourg","2001",185.477,17.677,162.407,180.084,5.393,2.91
"Grand Duchy of Luxembourg","2002",188.777,17.727,164.277,182.004,6.773,3.59
"Grand Duchy of Luxembourg","2003",191.778,17.91,165.509,183.419,8.359,4.36
"Grand Duchy of Luxembourg","2004",195.751,18.111,168.214,186.325,9.426,4.82
"Grand Duchy of Luxembourg","2005",198.033,18.186,169.194,187.38,10.653,5.38
"Grand Duchy of Luxembourg","2006",202.392,18.05,174.045,192.095,10.297,5.09
"Grand Duchy of Luxembourg","2007",207.156,18.31,179.176,197.486,9.67,4.67
"Grand Duchy of Luxembourg","2008",213.699,18.498,183.705,202.203,11.496,5.38
"Grand Duchy of Luxembourg","2009",218.943,18.758,185.369,204.127,14.816,6.77
"Grand Duchy of Luxembourg","2010",223.49,18.94,188.983,207.923,15.567,6.97
"Grand Duchy of Luxembourg","2011",230.253,19.201,194.893,214.094,16.159,7.02
"Grand Duchy of Luxembourg","2012",236.131,19.427,199.741,219.168,16.963,7.18
"Grand Duchy of Luxembourg","2013",242.694,19.872,203.535,223.407,19.287,7.95
"Grand Duchy of Luxembourg","2014",247.785,20.185,208.238,228.423,19.362,7.81
"Grand Duchy of Luxembourg","2015",251.936,20.6,212.53,233.13,18.806,7.46
"Grevenmacher","2001",1.871,183,1.644,1.827,44,2.35
"Grevenmacher","2002",1.949,180,1.707,1.887,62,3.18
"Grevenmacher","2003",1.995,183,1.757,1.94,55,2.76
"Grevenmacher","2004",2.023,186,1.761,1.947,76,3.76
"Grevenmacher","2005",2.105,192,1.818,2.01,95,4.51
"Grevenmacher","2006",1.873,146,1.638,1.784,89,4.75
"Grevenmacher","2007",1.921,140,1.692,1.832,89,4.63
"Grevenmacher","2008",1.97,137,1.745,1.882,88,4.47
"Grevenmacher","2009",2.025,138,1.753,1.891,134,6.62
"Grevenmacher","2010",2.03,136,1.759,1.895,135,6.65
"Grevenmacher","2011",2.101,141,1.806,1.947,154,7.33
"Grevenmacher","2012",2.088,135,1.817,1.952,136,6.51
"Grevenmacher","2013",2.138,139,1.848,1.987,151,7.06
"Grevenmacher","2014",2.192,140,1.886,2.026,166,7.57
"Grevenmacher","2015",2.181,150,1.89,2.04,141,6.46
"Grosbous","2001",276,32,242,274,2,0.72
"Grosbous","2002",276,31,243,274,2,0.72
"Grosbous","2003",288,30,254,284,4,1.39
"Grosbous","2004",320,30,282,312,8,2.5
"Grosbous","2005",326,27,290,317,9,2.76
"Grosbous","2006",397,47,335,382,15,3.78
"Grosbous","2007",404,44,347,391,13,3.22
"Grosbous","2008",416,42,358,400,16,3.85
"Grosbous","2009",446,44,382,426,20,4.48
"Grosbous","2010",441,47,375,422,19,4.31
"Grosbous","2011",458,45,383,428,30,6.55
"Grosbous","2012",454,48,383,431,23,5.07
"Grosbous","2013",472,47,393,440,32,6.78
"Grosbous","2014",484,42,409,451,33,6.82
"Grosbous","2015",510,50,420,470,40,7.84
"Heffingen","2001",346,52,286,338,8,2.31
"Heffingen","2002",355,53,297,350,5,1.41
"Heffingen","2003",373,62,303,365,8,2.14
"Heffingen","2004",382,60,313,373,9,2.36
"Heffingen","2005",404,57,336,393,11,2.72
"Heffingen","2006",417,54,354,408,9,2.16
"Heffingen","2007",435,58,373,431,4,0.92
"Heffingen","2008",462,60,391,451,11,2.38
"Heffingen","2009",470,61,396,457,13,2.77
"Heffingen","2010",488,57,419,476,12,2.46
"Heffingen","2011",503,57,425,482,21,4.17
"Heffingen","2012",508,53,442,495,13,2.56
"Heffingen","2013",564,57,484,541,23,4.08
"Heffingen","2014",572,57,495,552,20,3.5
"Heffingen","2015",601,60,520,580,21,3.49
"Hesperange","2001",4.32,387,3.832,4.219,101,2.34
"Hesperange","2002",4.398,379,3.877,4.256,142,3.23
"Hesperange","2003",4.528,402,3.945,4.347,181,4
"Hesperange","2004",4.661,401,4.038,4.439,222,4.76
"Hesperange","2005",4.839,400,4.234,4.634,205,4.24
"Hesperange","2006",5.256,451,4.604,5.055,201,3.82
"Hesperange","2007",5.47,479,4.81,5.289,181,3.31
"Hesperange","2008",5.679,492,4.948,5.44,239,4.21
"Hesperange","2009",5.862,494,5.041,5.535,327,5.58
"Hesperange","2010",6.013,503,5.172,5.675,338,5.62
"Hesperange","2011",6.095,525,5.235,5.76,335,5.5
"Hesperange","2012",6.233,529,5.364,5.893,340,5.45
"Hesperange","2013",6.314,554,5.39,5.944,370,5.86
"Hesperange","2014",6.422,587,5.44,6.027,395,6.15
"Hesperange","2015",6.543,610,5.55,6.16,383,5.85
"Hobscheid","2001",974,80,877,957,17,1.75
"Hobscheid","2002",1.016,80,908,988,28,2.76
"Hobscheid","2003",1.067,75,963,1.038,29,2.72
"Hobscheid","2004",1.126,77,998,1.075,51,4.53
"Hobscheid","2005",1.153,78,1.035,1.113,40,3.47
"Hobscheid","2006",1.195,79,1.062,1.141,54,4.52
"Hobscheid","2007",1.246,85,1.12,1.205,41,3.29
"Hobscheid","2008",1.327,91,1.191,1.282,45,3.39
"Hobscheid","2009",1.355,98,1.194,1.292,63,4.65
"Hobscheid","2010",1.392,93,1.246,1.339,53,3.81
"Hobscheid","2011",1.431,96,1.285,1.381,50,3.49
"Hobscheid","2012",1.464,105,1.297,1.402,62,4.23
"Hobscheid","2013",1.505,116,1.315,1.431,74,4.92
"Hobscheid","2014",1.571,115,1.39,1.505,66,4.2
"Hobscheid","2015",1.543,120,1.35,1.47,73,4.73
"Junglinster","2001",2.358,259,2.069,2.328,30,1.27
"Junglinster","2002",2.373,256,2.066,2.322,51,2.15
"Junglinster","2003",2.378,259,2.071,2.33,48,2.02
"Junglinster","2004",2.4,248,2.097,2.345,55,2.29
"Junglinster","2005",2.481,241,2.174,2.415,66,2.66
"Junglinster","2006",2.542,246,2.223,2.469,73,2.87
"Junglinster","2007",2.579,261,2.261,2.522,57,2.21
"Junglinster","2008",2.626,255,2.3,2.555,71,2.7
"Junglinster","2009",2.693,268,2.34,2.608,85,3.16
"Junglinster","2010",2.782,274,2.416,2.69,92,3.31
"Junglinster","2011",2.808,287,2.426,2.713,95,3.38
"Junglinster","2012",2.874,286,2.461,2.747,127,4.42
"Junglinster","2013",2.96,296,2.528,2.824,136,4.59
"Junglinster","2014",3.077,292,2.669,2.961,116,3.77
"Junglinster","2015",3.163,300,2.74,3.04,123,3.89
"Käerjeng","2001",3.509,268,3.165,3.433,76,2.17
"Käerjeng","2002",3.645,270,3.288,3.558,87,2.39
"Käerjeng","2003",3.675,277,3.302,3.579,96,2.61
"Käerjeng","2004",3.765,283,3.352,3.635,130,3.45
"Käerjeng","2005",3.897,302,3.436,3.738,159,4.08
"Käerjeng","2006",3.938,292,3.488,3.78,158,4.01
"Käerjeng","2007",3.997,281,3.574,3.855,142,3.55
"Käerjeng","2008",4.06,281,3.623,3.904,156,3.84
"Käerjeng","2009",4.145,290,3.634,3.924,221,5.33
"Käerjeng","2010",4.198,299,3.682,3.981,217,5.17
"Käerjeng","2011",4.271,303,3.737,4.04,231,5.41
"Käerjeng","2012",4.34,291,3.805,4.096,244,5.62
"Käerjeng","2013",4.355,294,3.8,4.094,261,5.99
"Käerjeng","2014",4.416,289,3.84,4.129,287,6.5
"Käerjeng","2015",4.39,310,3.82,4.13,260,5.92
"Kayl","2001",2.975,182,2.7,2.882,93,3.13
"Kayl","2002",3.049,177,2.771,2.948,101,3.31
"Kayl","2003",3.105,178,2.784,2.962,143,4.61
"Kayl","2004",3.163,184,2.827,3.011,152,4.81
"Kayl","2005",3.183,181,2.845,3.026,157,4.93
"Kayl","2006",3.271,175,2.913,3.088,183,5.59
"Kayl","2007",3.371,175,3.021,3.196,175,5.19
"Kayl","2008",3.446,177,3.058,3.235,211,6.12
"Kayl","2009",3.497,182,3.039,3.221,276,7.89
"Kayl","2010",3.58,198,3.098,3.296,284,7.93
"Kayl","2011",3.692,197,3.196,3.393,299,8.1
"Kayl","2012",3.783,201,3.295,3.496,287,7.59
"Kayl","2013",3.863,196,3.334,3.53,333,8.62
"Kayl","2014",3.872,201,3.338,3.539,333,8.6
"Kayl","2015",3.98,200,3.48,3.68,300,7.54
"Kehlen","2001",1.807,211,1.569,1.78,27,1.49
"Kehlen","2002",1.813,210,1.56,1.77,43,2.37
"Kehlen","2003",1.833,227,1.561,1.788,45,2.45
"Kehlen","2004",1.863,230,1.583,1.813,50,2.68
"Kehlen","2005",1.883,229,1.599,1.828,55,2.92
"Kehlen","2006",1.95,234,1.648,1.882,68,3.49
"Kehlen","2007",1.917,249,1.62,1.869,48,2.5
"Kehlen","2008",2.042,251,1.726,1.977,65,3.18
"Kehlen","2009",2.087,259,1.746,2.005,82,3.93
"Kehlen","2010",2.148,267,1.801,2.068,80,3.72
"Kehlen","2011",2.153,279,1.793,2.072,81,3.76
"Kehlen","2012",2.213,279,1.855,2.134,79,3.57
"Kehlen","2013",2.244,272,1.874,2.146,98,4.37
"Kehlen","2014",2.263,275,1.897,2.172,91,4.02
"Kehlen","2015",2.25,260,1.91,2.17,80,3.56
"Kiischpelt","2001",362,56,291,347,15,4.14
"Kiischpelt","2002",359,56,293,349,10,2.79
"Kiischpelt","2003",370,56,300,356,14,3.78
"Kiischpelt","2004",393,57,314,371,22,5.6
"Kiischpelt","2005",395,57,308,365,30,7.59
"Kiischpelt","2006",406,55,325,380,26,6.4
"Kiischpelt","2007",407,56,324,380,27,6.63
"Kiischpelt","2008",428,55,344,399,29,6.78
"Kiischpelt","2009",433,54,349,403,30,6.93
"Kiischpelt","2010",441,53,355,408,33,7.48
"Kiischpelt","2011",462,51,376,427,35,7.58
"Kiischpelt","2012",495,48,404,452,43,8.69
"Kiischpelt","2013",485,50,390,440,45,9.28
"Kiischpelt","2014",487,54,391,445,42,8.62
"Kiischpelt","2015",487,50,400,450,37,7.6
"Koerich","2001",733,83,640,723,10,1.36
"Koerich","2002",759,84,655,739,20,2.64
"Koerich","2003",794,80,686,766,28,3.53
"Koerich","2004",797,82,688,770,27,3.39
"Koerich","2005",822,85,712,797,25,3.04
"Koerich","2006",884,97,767,864,20,2.26
"Koerich","2007",934,106,805,911,23,2.46
"Koerich","2008",947,110,807,917,30,3.17
"Koerich","2009",963,117,816,933,30,3.12
"Koerich","2010",999,113,854,967,32,3.2
"Koerich","2011",999,116,852,968,31,3.1
"Koerich","2012",1.007,115,858,973,34,3.38
"Koerich","2013",1.016,113,858,971,45,4.43
"Koerich","2014",1.045,120,887,1.007,38,3.64
"Koerich","2015",1.091,130,920,1.05,41,3.76
"Kopstal","2001",1.116,174,925,1.099,17,1.52
"Kopstal","2002",1.13,179,926,1.105,25,2.21
"Kopstal","2003",1.172,185,957,1.142,30,2.56
"Kopstal","2004",1.172,178,954,1.132,40,3.41
"Kopstal","2005",1.188,183,966,1.149,39,3.28
"Kopstal","2006",1.176,182,958,1.14,36,3.06
"Kopstal","2007",1.199,186,977,1.163,36,3
"Kopstal","2008",1.19,192,957,1.149,41,3.45
"Kopstal","2009",1.186,184,945,1.129,57,4.81
"Kopstal","2010",1.213,186,970,1.156,57,4.7
"Kopstal","2011",1.252,182,1.015,1.197,55,4.39
"Kopstal","2012",1.249,182,1.018,1.2,49,3.92
"Kopstal","2013",1.284,189,1.029,1.218,66,5.14
"Kopstal","2014",1.329,186,1.082,1.268,61,4.59
"Kopstal","2015",1.372,200,1.1,1.3,72,5.25
"Lac de la Haute-Sûre","2001",570,92,461,553,17,2.98
"Lac de la Haute-Sûre","2002",590,86,486,572,18,3.05
"Lac de la Haute-Sûre","2003",598,90,492,582,16,2.68
"Lac de la Haute-Sûre","2004",627,92,513,605,22,3.51
"Lac de la Haute-Sûre","2005",617,97,502,599,18,2.92
"Lac de la Haute-Sûre","2006",628,98,507,605,23,3.66
"Lac de la Haute-Sûre","2007",649,95,519,614,35,5.39
"Lac de la Haute-Sûre","2008",675,89,552,641,34,5.04
"Lac de la Haute-Sûre","2009",709,95,570,665,44,6.21
"Lac de la Haute-Sûre","2010",675,94,543,637,38,5.63
"Lac de la Haute-Sûre","2011",706,98,569,667,39,5.52
"Lac de la Haute-Sûre","2012",749,103,601,704,45,6.01
"Lac de la Haute-Sûre","2013",757,99,616,715,42,5.55
"Lac de la Haute-Sûre","2014",797,104,633,737,60,7.53
"Lac de la Haute-Sûre","2015",768,100,610,710,58,7.55
"Larochette","2001",869,72,776,848,21,2.42
"Larochette","2002",887,73,782,855,32,3.61
"Larochette","2003",867,69,763,832,35,4.04
"Larochette","2004",902,73,786,859,43,4.77
"Larochette","2005",873,73,761,834,39,4.47
"Larochette","2006",883,60,777,837,46,5.21
"Larochette","2007",933,63,816,879,54,5.79
"Larochette","2008",994,69,860,929,65,6.54
"Larochette","2009",965,68,824,892,73,7.56
"Larochette","2010",990,65,862,927,63,6.36
"Larochette","2011",1,68,872,940,60,6
"Larochette","2012",1.018,65,878,943,75,7.37
"Larochette","2013",1.039,67,900,967,72,6.93
"Larochette","2014",1.03,59,885,944,86,8.35
"Larochette","2015",1.03,70,880,950,80,7.77
"Lenningen","2001",498,51,442,493,5,1
"Lenningen","2002",517,49,454,503,14,2.71
"Lenningen","2003",538,52,470,522,16,2.97
"Lenningen","2004",545,50,476,526,19,3.49
"Lenningen","2005",550,48,483,531,19,3.45
"Lenningen","2006",663,53,596,649,14,2.11
"Lenningen","2007",691,55,620,675,16,2.32
"Lenningen","2008",697,51,628,679,18,2.58
"Lenningen","2009",734,53,649,702,32,4.36
"Lenningen","2010",767,57,678,735,32,4.17
"Lenningen","2011",797,61,703,764,33,4.14
"Lenningen","2012",800,57,721,778,22,2.75
"Lenningen","2013",817,57,719,776,41,5.02
"Lenningen","2014",826,57,723,780,46,5.57
"Lenningen","2015",829,60,720,780,49,5.91
"Leudelange","2001",845,102,736,838,7,0.83
"Leudelange","2002",846,102,734,836,10,1.18
"Leudelange","2003",844,101,727,828,16,1.9
"Leudelange","2004",869,104,738,842,27,3.11
"Leudelange","2005",930,121,791,912,18,1.94
"Leudelange","2006",947,115,806,921,26,2.75
"Leudelange","2007",958,115,826,941,17,1.77
"Leudelange","2008",1.01,118,867,985,25,2.48
"Leudelange","2009",1.004,113,856,969,35,3.49
"Leudelange","2010",1.021,115,859,974,47,4.6
"Leudelange","2011",1.028,115,882,997,31,3.02
"Leudelange","2012",1.075,112,924,1.036,39,3.63
"Leudelange","2013",1.096,127,937,1.064,32,2.92
"Leudelange","2014",1.136,137,965,1.102,34,2.99
"Leudelange","2015",1.171,150,980,1.13,41,3.5
"Lintgen","2001",999,56,934,990,9,0.9
"Lintgen","2002",1.045,66,960,1.026,19,1.82
"Lintgen","2003",1.073,65,978,1.043,30,2.8
"Lintgen","2004",1.09,70,978,1.048,42,3.85
